Item,Descripción,Unidad,Cantidad,Costo Unitario,Código Análisis,Tipo
1. PRELIMINARES,,,,,chapter,chapter
1.1,LOCALIZACION-REPLANTEO OBRA ARQUITECTON.,M2,17.80,"$3,976.00",10-01-13,analysis
1.2,CERRAMIENTO TELA FIB.TEJIDA H=2.10M-BORD,ML,1,"$10,250.00",10-01-19,analysis
1.3,RETIRO DE ESCOMBROS MANUAL VOLQUETA,M3,1,"$1,943.94",71-01-47,analysis

=== DATOS AIU ===
AIU_ADMIN,15761.63706260065
AIU_SUB_TOTAL,7879.802062600649
AIU_IMPREV,4148.337
AIU_UTIL,4148.337
AIU_IVA,788.1840300000001
AIU_IMPREV_PCT,5.0
AIU_UTIL_PCT,5.0
AIU_IVA_PCT,19.0
AIU_TOTAL,24846.49509260065

=== SUB-ITEMS AIU ===
SUB_ITEM_0,Costo oficina,0.0,1.8924
SUB_ITEM_1,Papelería / Fotocopias / Otros,0.0,1.8924
SUB_ITEM_2,Póliza de Cumplimiento,5.0,0.5
SUB_ITEM_3,Póliza de Anticipo,100.0,0.5
SUB_ITEM_4,Póliza RC Extracontractual,30.0,0.5
SUB_ITEM_5,Póliza de Estabilidad,20.0,0.5
SUB_ITEM_6,Calidad del Servicio,20.0,0.5
SUB_ITEM_7,Calidad y Correcto Funcionamiento,20.0,0.5
SUB_ITEM_8,Nueva póliza,0.0,0.0
SUB_ITEM_9,Estampilla pro Desarrollo,0.0757,0.0
SUB_ITEM_10,Estampilla pro Univalle,0.0189,0.0
SUB_ITEM_11,Estampilla pro Hospital,0.0189,0.0
SUB_ITEM_12,Estampilla pro Cultura,0.0189,0.0
SUB_ITEM_13,Estampilla pro Pacífico,0.0189,0.0
SUB_ITEM_14,Estampilla pro Deporte,0.0378,0.0
SUB_ITEM_15,Estampilla pro Adulto Mayor,0.0378,0.0
SUB_ITEM_16,Estampilla Familiar,0.0378,0.0
SUB_ITEM_17,Contribución Especial,0.0946,0.0

COSTO DIRECTO,82966.74
ADMINISTRACIÓN,15761.63706260065,19.00%
IMPREVISTOS,4148.337,5.00%
UTILIDAD,4148.337,5.00%
IVA UTILIDAD,788.1840300000001,19.00%
TOTAL COSTOS INDIRECTOS,24846.49509260065
TOTAL PRESUPUESTO,107813.23509260066
