Item,Descripción,Unidad,Cantidad,Costo Unitario,Código Análisis,Tipo
1. PRELIMINARES,,,,,chapter,chapter
1.1,LOCALIZACION-REPLANTEO OBRA ARQUITECTON.,M2,17.8,"$3,976.00",10-01-13,analysis
1.2,CERRAMIENTO TELA FIB.TEJIDA H=2.10M-BORD,ML,67,"$10,250.00",10-01-19,analysis
1.3,RETIRO ESCOMBROS MANUAL-VOLQUETA,M3,16,"$76,894.90",71-01-46,analysis
1.4,DEMOL.LOSA CONCRETO E<=20CMS,M2,67,"$29,615.00",01-01-04,analysis
2. MOVIMIENTOS DE TIERRA,,,,,chapter,chapter
2.1,EXCAVACION TIERRA A MANO,M3,1.34,"$13,693.00",06-08-10,analysis
2.2,RELLENO ROCAMUERTA COMPACT-SALTARIN,M3,8,"$26,849.00",10-06-20,analysis
2.3,ACERO REFUERZO FLEJADO 60000 PSI 420Mpa,KLS,100,"$5,333.00",12-01-01,analysis
3. ESTRUCTURAS EN CONCRETO,,,,,chapter,chapter
3.1,LOSA CONCRETO MACIZA E=10CM,M2,67,"$51,396.00",13-07-02,analysis
3.2,REALCE TAPAS EN CONCRETO,UND,1,"$240,796.00",02-04-12,analysis
4. DEMARCACIÓN,,,,,chapter,chapter
4.1,LINEA DE DEMARCACION INCLUYE MICROESFERA,ML,82,"$2,156.00",08-07-03,analysis
5. PORTERIAS,,,,,chapter,chapter
5.1,PORTERIA MULTIPLE TORRE GIRATORIA TIPO 1,JGO,2,"$6,127,653.00",28-03-21,analysis
6. LIMPIEZA GENERAL,,,,,chapter,chapter
6.1,LIMPIEZA GENERAL,M2,67,"$1,779.00",31-01-05,analysis

=== DATOS AIU ===
AIU_ADMIN,3985080.498359899
AIU_SUB_TOTAL,1992540.4583598992
AIU_IMPREV,1048705.291
AIU_UTIL,1048705.291
AIU_IVA,199254.00529
AIU_IMPREV_PCT,5.0
AIU_UTIL_PCT,5.0
AIU_IVA_PCT,19.0
AIU_TOTAL,6281745.085649899

=== SUB-ITEMS AIU ===
SUB_ITEM_0,Costo oficina,0.0,40.1026
SUB_ITEM_1,Papelería / Fotocopias / Otros,0.0,40.1026
SUB_ITEM_2,Póliza de Cumplimiento,20.0,0.5
SUB_ITEM_3,Póliza de Anticipo,100.0,0.5
SUB_ITEM_4,Póliza RC Extracontractual,30.0,0.5
SUB_ITEM_5,Póliza de Estabilidad,20.0,0.5
SUB_ITEM_6,Calidad del Servicio,20.0,0.5
SUB_ITEM_7,Calidad y Correcto Funcionamiento,20.0,0.5
SUB_ITEM_8,Póliza Salarios y P.S.,5.0,1.0
SUB_ITEM_9,Estampilla pro Desarrollo,1.6041,0.0
SUB_ITEM_10,Estampilla pro Univalle,0.401,0.0
SUB_ITEM_11,Estampilla pro Hospital,0.401,0.0
SUB_ITEM_12,Estampilla pro Cultura,0.401,0.0
SUB_ITEM_13,Estampilla pro Pacífico,0.401,0.0
SUB_ITEM_14,Estampilla pro Deporte,0.8021,0.0
SUB_ITEM_15,Estampilla pro Adulto Mayor,0.8021,0.0
SUB_ITEM_16,Estampilla Familiar,0.8021,0.0
SUB_ITEM_17,Contribución Especial,2.0051,0.0

COSTO DIRECTO,20974105.82
ADMINISTRACIÓN,3985080.498359899,19.00%
IMPREVISTOS,1048705.291,5.00%
UTILIDAD,1048705.291,5.00%
IVA UTILIDAD,199254.00529,19.00%
TOTAL COSTOS INDIRECTOS,6281745.085649899
TOTAL PRESUPUESTO,27255850.9056499
